Unnamed: 0,Features,XGBoost_Importance,LightGBM_Importance,CatBoost_Importance,Total_Importance,IC mean,IC std,IR,t_value,p,IC Skew,IC kurtosis,Alpha_index,IC mean abs,topsis_score
129,alpha153,1.0651836,1.1998622762433897,1.524951969428818,1.2633326283995248,-0.0122428219048991,0.6158615713339232,-0.0198791781704805,-2.7693486114801624,0.0056221838405292,0.0244351087147781,-1.3935429954829457,alpha153,0.0122428219048991,0.4147310402429253
68,alpha127,2.1041436,-0.241545101023337,1.6773023418221396,1.1799669534453854,-0.0185054186599137,0.6662222237385306,-0.0277766456904873,-3.869536985626214,0.0001093987523559,0.038318924589171,-1.502282873991486,alpha127,0.0185054186599137,0.41172470440198616
19,alpha036,0.22043565,2.519887979635024,-0.4561403279300617,0.7613944336205108,-0.0003309444019157,0.3898365200122614,-0.0008489312440643,-0.1182637703545912,0.9058598869851536,0.0037665071347734,-0.6786611295422054,alpha036,0.0003309444019157,0.4098122297294888
102,alpha187,1.9759531,0.0922545021331681,2.0291423605978,1.3657833216142616,-0.0009801293314412,0.5920413222062079,-0.0016555083145022,-0.2306272227525296,0.8176068480942635,-0.005799718394081,-1.3243731284665572,alpha187,0.0009801293314412,0.4050091539752098
112,alpha133,0.5285383,0.8205445453837248,-0.4561403279300617,0.2976475013798689,0.0157627436350124,0.614352191040584,0.0256575037330194,3.574321419514023,0.0003519892370322,-0.0336721388305779,-1.3740210014037886,alpha133,0.0157627436350124,0.40457269368983567
34,alpha064,1.3280431,1.6550435532749876,-0.4561403279300617,0.8423154428543348,-0.0001725662800898,0.4551510388320672,-0.0003791406925768,-0.0528177141700152,0.957877690990812,0.0063249022805186,-0.8516005154567825,alpha064,0.0001725662800898,0.40294129811736046
60,alpha114,0.094938934,0.2136361760082609,-0.3463903934509428,-0.0126050945311157,0.0208248272930709,0.5353725880474024,0.0388978213640386,5.418816948080086,6.070940629751191e-08,-0.0397330634692506,-1.2229795487856616,alpha114,0.0208248272930709,0.39973760812167053
85,alpha158,2.6448934,-0.5449992857110689,0.4694394887202295,0.8564445369436053,0.0036946668631127,0.618159445127736,0.0059768832980449,0.8326336894046652,0.4050615993376756,-0.0072536780077792,-1.383101664238905,alpha158,0.0036946668631127,0.39965418234567784
132,alpha058,0.4219307,1.0177897654307506,-0.4561403279300617,0.3278600460137438,0.0130734323135208,0.5354334102036752,0.024416541934781,3.401444261143645,0.0006716595765966,-0.0326713281182408,-1.1952916079900588,alpha058,0.0130734323135208,0.39950663888194754
42,alpha086,0.15347527,1.791597936384467,-0.4561403279300617,0.4963109593765533,0.0068185469121142,0.6183088178465573,0.0110277368125879,1.5362630873271583,0.1244901718027541,-0.0163635550436831,-1.4720775762604523,alpha086,0.0068185469121142,0.3951654471957568
4,alpha006,1.8173,0.8357172546181114,-0.4561403279300617,0.7322922962439372,-0.0016941352620964,0.591503932178648,-0.0028641149617662,-0.3989970171033046,0.6898997925143511,0.0016252826964198,-1.435758568306857,alpha006,0.0016941352620964,0.38406992807061663
106,alpha186,0.49979472,1.8371160640876267,-0.4561403279300617,0.6269234859203195,-0.0067474854658114,0.6103393171015986,-0.0110553019881697,-1.5401031646215118,0.1235515131720552,0.0170546258325156,-1.3544637387245464,alpha186,0.0067474854658114,0.3835693554562764
69,alpha129,2.6237817,-0.6360355411173886,-0.0663298052221139,0.6404721115737628,-0.0087533276083096,0.6328101933815045,-0.0138324693563089,-1.9269875986181235,0.0539957577119805,0.0161891194896888,-1.4416181609414007,alpha129,0.0087533276083096,0.3793240288054254
130,alpha022,0.27326974,0.4260541052896732,2.992407908054872,1.2305772520239415,-0.0104256296229948,0.6589853901374971,-0.0158207295321366,-2.203970153428463,0.0275381407458939,0.0189155950102376,-1.4758703943759124,alpha022,0.0104256296229948,0.37267791590369986
100,alpha184,-1.1248256,-0.8636261796331876,-0.4561403279300617,-0.8148640347908788,0.0263542991740573,0.5142231683403315,0.051250703578986,7.139684728245255,9.684986592767625e-13,-0.0723874538375444,-1.0199007577895205,alpha184,0.0263542991740573,0.3657302382548495
122,alpha065,0.04872647,-0.8029353426956412,0.8479829757014966,0.0312580340947303,0.0203030282405607,0.6591901666673445,0.030799956169259,4.290711372447336,1.7896377531024264e-05,-0.0305951107197945,-1.4796095687834208,alpha065,0.0203030282405607,0.36525295536300223
49,alpha098,0.52867925,0.8205445453837248,1.4179952760130043,0.9224063576891888,-0.0104551374063663,0.6398214154913332,-0.0163407118818266,-2.276408379282622,0.0228324201758721,0.031826800036294,-1.4378362798240722,alpha098,0.0104551374063663,0.361330559479167
126,alpha094,-0.3261894,0.4563995237584464,0.6739244143624052,0.2680448464517626,0.0125678728160496,0.4806586737045926,0.0261471882306523,3.6425388816220474,0.0002706651889799,-0.0261662388907945,-1.0376197827232496,alpha094,0.0125678728160496,0.36005110795801526
