expr,direction_by_ic_mean,bars,total_return,ann_return,ann_vol,sharpe,max_drawdown,win_rate,avg_win,avg_loss
"gp_mean3(gp_max(alpha137, gp_log(alpha054)), gp_mean7(alpha137, alpha146, alpha191, alpha054, alpha096, alpha165, alpha127), alpha191)",long_top/short_bottom,3264,0.018648147583007812,0.03161024767121656,0.128837540681533,0.2453496667508761,-0.14259988069534302,0.5104166666666666,0.0011692553525790572,-0.001203245366923511
"gp_mean6(alpha066, gp_signedpower(gp_mean2(alpha184, gp_sin(alpha135))), alpha191, alpha022, alpha013, alpha191)",long_top/short_bottom,3264,0.016149520874023438,0.028359018109789025,0.12785360199309118,0.22180851902257287,-0.18501615524291992,0.5110294117647058,0.00121601193677634,-0.0012566854711622
"gp_tan(gp_mean7(alpha096, alpha013, alpha191, alpha191, alpha120, alpha002, alpha191))",long_top/short_bottom,3264,0.011976361274719238,0.02335325842142133,0.1294643057673714,0.18038376124600516,-0.13062644004821777,0.5159313725490197,0.0012363640125840902,-0.001305917277932167
"gp_tan(gp_mean5(alpha165, alpha013, alpha137, alpha002, alpha120))",long_top/short_bottom,3264,0.011756420135498047,0.022755948593219166,0.12703370975915856,0.17913315006199418,-0.16299211978912354,0.5140931372549019,0.001139038591645658,-0.0011936265509575605
"gp_mean6(alpha066, gp_signedpower(gp_mean2(alpha184, alpha162)), alpha191, alpha191, alpha013, alpha120)",long_top/short_bottom,3264,0.01170659065246582,0.023770386512150576,0.13503616370140725,0.17602978239749015,-0.165493905544281,0.5168504901960784,0.0012610310222953558,-0.00133693206589669
"gp_mean5(alpha191, alpha111, alpha162, alpha096, alpha120)",long_top/short_bottom,3264,0.004689812660217285,0.01445860545537081,0.13093517975012783,0.11042567385604932,-0.1395014524459839,0.5214460784313726,0.0011960824485868216,-0.0012958458391949534
"gp_signedpower(gp_mean7(alpha096, alpha054, alpha191, alpha146, alpha049, alpha096, alpha137))",long_top/short_bottom,3264,0.0033832788467407227,0.013498902415719494,0.13588759082065605,0.09933874266367189,-0.18359863758087158,0.5196078431372549,0.0012334106722846627,-0.0013271747156977654
"gp_sin(gp_mean7(alpha096, alpha054, alpha191, alpha146, alpha096, gp_delta(alpha022), alpha191))",long_top/short_bottom,3264,0.0028526782989501953,0.013394519506874536,0.13985718680859527,0.09577283665233385,-0.1790090799331665,0.5159313725490197,0.0012856872053816915,-0.0013634975766763091
"gp_mean3(gp_gt(alpha002, 8.5234865473508), gp_mean3(alpha137, alpha137, alpha165), gp_mean7(alpha111, alpha184, alpha054, alpha135, alpha191, alpha096, alpha111))",long_top/short_bottom,3264,0.002974271774291992,0.011017150201720893,0.12062619214853199,0.09133298502994294,-0.15410590171813965,0.5110294117647058,0.0011087177554145455,-0.0011531775817275047
"gp_mean3(alpha054, alpha146, alpha013)",long_top/short_bottom,3264,-4.947185516357422e-05,0.008632565479878007,0.13157145113285243,0.06561123561038629,-0.17508161067962646,0.5245098039215687,0.001174852717667818,-0.0012914880644530058
"gp_mean7(alpha054, alpha013, alpha054, alpha066, alpha137, alpha038, alpha146)",long_top/short_bottom,3264,-0.0016925334930419922,0.007076398129173933,0.13521215586024626,0.052335517351620495,-0.21042948961257935,0.5245098039215687,0.0011807405389845371,-0.0012987882364541292
"gp_add(alpha054, alpha096)",long_top/short_bottom,3264,-0.004148244857788086,0.004499801455957186,0.13873208774275134,0.03243518878127961,-0.19560760259628296,0.515625,0.0012536186259239912,-0.001332198386080563
"gp_signedpower(gp_mean6(alpha191, alpha135, alpha038, alpha054, alpha022, alpha184))",long_top/short_bottom,3264,-0.009074866771697998,-0.0016418353656874052,0.13871394742194357,-0.011836123159938842,-0.21829885244369507,0.5275735294117647,0.0012277457863092422,-0.0013719251146540046
